wkt_geom,OBJECTID,Id,Komm,Ip,X_WERT,Y_WERT,Typ,Brgwl,Iz,Nbr,Rbr,Ski,Hz,Hbr,Qbr,Brkenn
Point (2538318.22999999998137355 5663092.58999999985098839),9189,0,,34819,2538318.23,5663092.59,M,xx0987654321,20,1,0.3,1,0,0,-0.078,WS1097
Point (2538318.22999999998137355 5663092.58999999985098839),9190,0,,34819,2538318.23,5663092.59,M,xx0987654321,21,1,0.3,1,0,0,-0.058,WS1097
Point (2538318.22999999998137355 5663092.58999999985098839),9191,0,,34819,2538318.23,5663092.59,M,xx0987654321,22,1,0.3,1,0,0,-0.027,WS1097
Point (2538318.22999999998137355 5663092.58999999985098839),9192,0,,34819,2538318.23,5663092.59,M,xx0987654321,23,0,0.3,1,0,0,0,WS1097
Point (2538394.4599999999627471 5663124.83000000007450581),9193,0,,34824,2538394.46,5663124.83,M,xx0987654321,15,1,0.3,1,0,0,-0.151,WS1098
Point (2538394.4599999999627471 5663124.83000000007450581),9194,0,,34824,2538394.46,5663124.83,M,xx0987654321,16,1,0.3,1,0,0,-0.141,WS1098
Point (2538394.4599999999627471 5663124.83000000007450581),9195,0,,34824,2538394.46,5663124.83,M,xx0987654321,17,1,0.3,1,0,0,-0.172,WS1098
Point (2538394.4599999999627471 5663124.83000000007450581),9196,0,,34824,2538394.46,5663124.83,M,xx0987654321,18,1,0.3,1,0,0,-0.091,WS1098
Point (2538394.4599999999627471 5663124.83000000007450581),9197,0,,34824,2538394.46,5663124.83,M,xx0987654321,19,1,0.3,1,0,0,-0.087,WS1098
Point (2538394.4599999999627471 5663124.83000000007450581),9198,0,,34824,2538394.46,5663124.83,M,xx0987654321,20,1,0.3,1,0,0,-0.074,WS1098
Point (2538394.4599999999627471 5663124.83000000007450581),9199,0,,34824,2538394.46,5663124.83,M,xx0987654321,21,1,0.3,1,0,0,-0.052,WS1098
Point (2538394.4599999999627471 5663124.83000000007450581),9200,0,,34824,2538394.46,5663124.83,M,xx0987654321,22,1,0.3,1,0,0,-0.045,WS1098
Point (2538394.4599999999627471 5663124.83000000007450581),9201,0,,34824,2538394.46,5663124.83,M,xx0987654321,23,0,0.3,1,0,0,0,WS1098
Point (2538476.08999999985098839 5663356.26999999955296516),9202,0,,34826,2538476.09,5663356.27,M,xx0987654321,16,1,0.3,1,0,0,-0.2,WR0738
Point (2538476.08999999985098839 5663356.26999999955296516),9203,0,,34826,2538476.09,5663356.27,M,xx0987654321,17,1,0.3,1,0,0,-0.218,WR0738
Point (2538476.08999999985098839 5663356.26999999955296516),9204,0,,34826,2538476.09,5663356.27,M,xx0987654321,18,1,0.3,1,0,0,-0.171,WR0738
Point (2538476.08999999985098839 5663356.26999999955296516),9205,0,,34826,2538476.09,5663356.27,M,xx0987654321,19,1,0.3,1,0,0,-0.1,WR0738
Point (2538476.08999999985098839 5663356.26999999955296516),9206,0,,34826,2538476.09,5663356.27,M,xx0987654321,20,1,0.3,1,0,0,-0.055,WR0738
Point (2538476.08999999985098839 5663356.26999999955296516),9207,0,,34826,2538476.09,5663356.27,M,xx0987654321,21,1,0.3,1,0,0,-0.034,WR0738
Point (2538476.08999999985098839 5663356.26999999955296516),9208,0,,34826,2538476.09,5663356.27,M,xx0987654321,22,1,0.3,1,0,0,-0.02,WR0738
Point (2538476.08999999985098839 5663356.26999999955296516),9209,0,,34826,2538476.09,5663356.27,M,xx0987654321,23,1,0.3,1,0,0,-0.013,WR0738
Point (2538476.08999999985098839 5663356.26999999955296516),9210,0,,34826,2538476.09,5663356.27,M,xx0987654321,24,1,0.3,1,0,0,-0.011,WR0738
Point (2538476.08999999985098839 5663356.26999999955296516),9211,0,,34826,2538476.09,5663356.27,M,xx0987654321,25,1,0.3,1,0,0,-0.001,WR0738
Point (2538476.08999999985098839 5663356.26999999955296516),9212,0,,34826,2538476.09,5663356.27,M,xx0987654321,26,0,0.3,1,0,0,0,WR0738
Point (2538541.9599999999627471 5663167.88999999966472387),9213,0,,34830,2538541.96,5663167.89,M,xx0987654321,15,1,0.3,1,0,0,-0.161,WS1099
Point (2538541.9599999999627471 5663167.88999999966472387),9214,0,,34830,2538541.96,5663167.89,M,xx0987654321,16,1,0.3,1,0,0,-0.182,WS1099
Point (2538541.9599999999627471 5663167.88999999966472387),9215,0,,34830,2538541.96,5663167.89,M,xx0987654321,17,1,0.3,1,0,0,-0.169,WS1099
Point (2538541.9599999999627471 5663167.88999999966472387),9216,0,,34830,2538541.96,5663167.89,M,xx0987654321,18,1,0.3,1,0,0,-0.176,WS1099
Point (2538541.9599999999627471 5663167.88999999966472387),9217,0,,34830,2538541.96,5663167.89,M,xx0987654321,19,1,0.3,1,0,0,-0.162,WS1099
Point (2538541.9599999999627471 5663167.88999999966472387),9218,0,,34830,2538541.96,5663167.89,M,xx0987654321,20,1,0.3,1,0,0,-0.127,WS1099
Point (2538541.9599999999627471 5663167.88999999966472387),9219,0,,34830,2538541.96,5663167.89,M,xx0987654321,21,1,0.3,1,0,0,-0.102,WS1099
Point (2538541.9599999999627471 5663167.88999999966472387),9220,0,,34830,2538541.96,5663167.89,M,xx0987654321,22,1,0.3,1,0,0,-0.079,WS1099
Point (2538541.9599999999627471 5663167.88999999966472387),9221,0,,34830,2538541.96,5663167.89,M,xx0987654321,23,0,0.3,1,0,0,0,WS1099
Point (2538828.68000000016763806 5663249.63999999966472387),9222,0,,34842,2538828.68,5663249.64,M,xx0987654321,15,1,0.3,1,0,0,-0.035,WR0701
Point (2538828.68000000016763806 5663249.63999999966472387),9223,0,,34842,2538828.68,5663249.64,M,xx0987654321,16,1,0.3,1,0,0,-0.044,WR0701
Point (2538828.68000000016763806 5663249.63999999966472387),9224,0,,34842,2538828.68,5663249.64,M,xx0987654321,17,1,0.3,1,0,0,-0.053,WR0701
Point (2538828.68000000016763806 5663249.63999999966472387),9225,0,,34842,2538828.68,5663249.64,M,xx0987654321,18,1,0.3,1,0,0,-0.049,WR0701
Point (2538828.68000000016763806 5663249.63999999966472387),9226,0,,34842,2538828.68,5663249.64,M,xx0987654321,19,1,0.3,1,0,0,-0.035,WR0701
Point (2538828.68000000016763806 5663249.63999999966472387),9227,0,,34842,2538828.68,5663249.64,M,xx0987654321,20,1,0.3,1,0,0,-0.031,WR0701
Point (2538828.68000000016763806 5663249.63999999966472387),9228,0,,34842,2538828.68,5663249.64,M,xx0987654321,21,1,0.3,1,0,0,-0.02,WR0701
Point (2538828.68000000016763806 5663249.63999999966472387),9229,0,,34842,2538828.68,5663249.64,M,xx0987654321,22,1,0.3,1,0,0,-0.015,WR0701
Point (2538828.68000000016763806 5663249.63999999966472387),9230,0,,34842,2538828.68,5663249.64,M,xx0987654321,23,1,0.3,1,0,0,-0.004,WR0701
Point (2538828.68000000016763806 5663249.63999999966472387),9231,0,,34842,2538828.68,5663249.64,M,xx0987654321,24,0,0.3,1,0,0,0,WR0701
Point (2539061.27999999979510903 5663098.03000000026077032),9232,0,,34860,2539061.28,5663098.03,M,x10987654321,1,1,0.8,1,0,0,-1.605,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9233,0,,34860,2539061.28,5663098.03,M,x10987654321,2,1,0.8,1,0,0,-2.006,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9234,0,,34860,2539061.28,5663098.03,M,x10987654321,3,1,0.8,1,0,0,-1.941,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9235,0,,34860,2539061.28,5663098.03,M,x10987654321,4,1,0.8,1,0,0,-1.548,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9236,0,,34860,2539061.28,5663098.03,M,x10987654321,5,1,0.8,1,0,0,-1.276,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9237,0,,34860,2539061.28,5663098.03,M,x10987654321,6,1,0.8,1,0,0,-1.291,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9238,0,,34860,2539061.28,5663098.03,M,x10987654321,7,1,0.8,1,0,0,-1.541,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9239,0,,34860,2539061.28,5663098.03,M,x10987654321,8,1,0.8,1,0,0,-1.474,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9240,0,,34860,2539061.28,5663098.03,M,x10987654321,9,1,0.8,1,0,0,-1.414,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9241,0,,34860,2539061.28,5663098.03,M,x10987654321,10,1,0.8,1,0,0,-1.278,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9242,0,,34860,2539061.28,5663098.03,M,x10987654321,11,1,0.8,1,0,0,-1.179,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9243,0,,34860,2539061.28,5663098.03,M,x10987654321,12,1,0.8,1,0,0,-1.28,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9244,0,,34860,2539061.28,5663098.03,M,x10987654321,13,1,0.8,1,0,0,-1.29,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9245,0,,34860,2539061.28,5663098.03,M,x10987654321,14,1,0.8,1,0,0,-1.346,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9246,0,,34860,2539061.28,5663098.03,M,x10987654321,15,1,0.8,1,0,0,-1.337,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9247,0,,34860,2539061.28,5663098.03,M,x10987654321,16,1,0.8,1,0,0,-1.39,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9248,0,,34860,2539061.28,5663098.03,M,x10987654321,17,1,0.8,1,0,0,-1.364,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9249,0,,34860,2539061.28,5663098.03,M,x10987654321,18,1,0.8,1,0,0,-1.569,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9250,0,,34860,2539061.28,5663098.03,M,x10987654321,19,1,0.8,1,0,0,-1.905,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9251,0,,34860,2539061.28,5663098.03,M,x10987654321,20,1,0.8,1,0,0,-1.512,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9252,0,,34860,2539061.28,5663098.03,M,x10987654321,21,1,0.8,1,0,0,-1.449,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9253,0,,34860,2539061.28,5663098.03,M,x10987654321,22,1,0.8,1,0,0,-1.343,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9254,0,,34860,2539061.28,5663098.03,M,x10987654321,23,1,0.8,1,0,0,-1.346,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9255,0,,34860,2539061.28,5663098.03,M,x10987654321,24,1,0.8,1,0,0,-1.36,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9256,0,,34860,2539061.28,5663098.03,M,x10987654321,25,1,0.8,1,0,0,-2.209,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9257,0,,34860,2539061.28,5663098.03,M,x10987654321,26,1,0.8,1,0,0,-1.146,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9258,0,,34860,2539061.28,5663098.03,M,x10987654321,27,1,0.8,1,0,0,-1.539,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9259,0,,34860,2539061.28,5663098.03,M,x10987654321,28,1,0.8,1,0,0,-1.55,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9260,0,,34860,2539061.28,5663098.03,M,x10987654321,29,1,0.8,1,0,0,-1.72,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9261,0,,34860,2539061.28,5663098.03,M,x10987654321,30,1,0.8,1,0,0,-1.934,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9262,0,,34860,2539061.28,5663098.03,M,x10987654321,31,1,0.8,1,0,0,-1.905,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9263,0,,34860,2539061.28,5663098.03,M,x10987654321,32,1,0.8,1,0,0,-1.842,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9264,0,,34860,2539061.28,5663098.03,M,x10987654321,33,1,0.8,1,0,0,-2.154,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9265,0,,34860,2539061.28,5663098.03,M,x10987654321,34,1,0.8,1,0,0,-1.724,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9266,0,,34860,2539061.28,5663098.03,M,x10987654321,35,1,0.8,1,0,0,-1.073,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9267,0,,34860,2539061.28,5663098.03,M,x10987654321,36,1,0.8,1,0,0,-0.609,WR0135
Point (2539061.27999999979510903 5663098.03000000026077032),9268,0,,34860,2539061.28,5663098.03,M,x10987654321,37,0,0.8,1,0,0,0,WR0135
Point (2529798.72000000020489097 5662146.38999999966472387),10655,0,,36634,2529798.72,5662146.39,M,xx0987xxxxxx,42,1,0.49,1,0,0,-1.371,WR2613
Point (2529798.72000000020489097 5662146.38999999966472387),10656,0,,36634,2529798.72,5662146.39,M,xx0987xxxxxx,43,1,0.49,1,0,0,-1.543,WR2613
Point (2529798.72000000020489097 5662146.38999999966472387),10657,0,,36634,2529798.72,5662146.39,M,xx0987xxxxxx,44,1,0.49,1,0,0,-0.801,WR2613
Point (2529798.72000000020489097 5662146.38999999966472387),10658,0,,36634,2529798.72,5662146.39,M,xx0987xxxxxx,45,1,0.49,1,0,0,-1.052,WR2613
Point (2529931.93999999994412065 5662177.98000000044703484),10659,0,,36635,2529931.94,5662177.98,M,xx0987xxxxxx,42,1,0.49,1,0,0,-0.638,WR2612
Point (2529931.93999999994412065 5662177.98000000044703484),10660,0,,36635,2529931.94,5662177.98,M,xx0987xxxxxx,43,1,0.49,1,0,0,-1.805,WR2612
Point (2529931.93999999994412065 5662177.98000000044703484),10661,0,,36635,2529931.94,5662177.98,M,xx0987xxxxxx,44,1,0.49,1,0,0,-0.615,WR2612
Point (2529931.93999999994412065 5662177.98000000044703484),10662,0,,36635,2529931.94,5662177.98,M,xx0987xxxxxx,45,1,0.49,1,0,0,-1.537,WR2612
Point (2529391.56000000005587935 5662103.87000000011175871),10663,0,,36636,2529391.56,5662103.87,M,xx0987xxxxxx,43,1,0.49,1,0,0,-0.475,WR2671
Point (2529391.56000000005587935 5662103.87000000011175871),10664,0,,36636,2529391.56,5662103.87,M,xx0987xxxxxx,44,1,0.49,1,0,0,-1.34,WR2671
Point (2529391.56000000005587935 5662103.87000000011175871),10665,0,,36636,2529391.56,5662103.87,M,xx0987xxxxxx,45,1,0.49,1,0,0,-1.322,WR2671
Point (2529466.72000000020489097 5662162.37000000011175871),10694,0,,36655,2529466.72,5662162.37,M,xx0987xxxxxx,43,1,0.49,1,0,0,-0.453,WR2672
Point (2529466.72000000020489097 5662162.37000000011175871),10695,0,,36655,2529466.72,5662162.37,M,xx0987xxxxxx,44,1,0.49,1,0,0,-1.542,WR2672
Point (2529466.72000000020489097 5662162.37000000011175871),10696,0,,36655,2529466.72,5662162.37,M,xx0987xxxxxx,45,1,0.49,1,0,0,-1.653,WR2672
Point (2529354.39000000013038516 5662025.05999999959021807),10823,0,C,36691,2529354.39,5662025.06,M,xx0987xxxxxx,43,1,0.49,1,0,0,-0.455,WR2670
Point (2529354.39000000013038516 5662025.05999999959021807),10824,0,,36691,2529354.39,5662025.06,M,xx0987xxxxxx,43,2,0.49,1,0,0,-0.892,WR2669
Point (2529354.39000000013038516 5662025.05999999959021807),10825,0,C,36691,2529354.39,5662025.06,M,xx0987xxxxxx,43,1,0.49,1,0,0,-0.437,WR2669
Point (2529354.39000000013038516 5662025.05999999959021807),10826,0,C,36691,2529354.39,5662025.06,M,xx0987xxxxxx,44,1,0.49,1,0,0,-1.807,WR2670
