per,wellid,qdes,,,,,,BIOS,org,50%,"0-3:30%, 4-6:50%, 7-8:100%",org+WS,"0-3:30%, 4-5:50%, 6-8:100%",,,,,,
0,well1,0,,,,,,0,0,0,0,0,0,,,0,well487,0,0
0,well10,0,,,,,,0,0,0,0,0,0,,,0,well488,-921.7422173,-691.306663
0,well100,0,,,,,,0,0,0,0,0,0,,,0,well489,0,0
0,well101,0,,,,,,0,0,0,0,0,0,,,0,well490,0,0
0,well102,0,,,,,,0,0,0,0,0,0,,,0,well491,0,0
0,well103,0,,,,,,0,0,0,0,0,0,,,0,well492,0,0
0,well104,0,,,,,,0,0,0,0,0,0,,,0,well493,0,0
0,well105,0,,,,,,0,0,0,0,0,0,,,0,well494,0,0
0,well106,0,,,,,,0,0,0,0,0,0,,,0,well495,0,0
0,well107,0,,,,,,0,0,0,0,0,0,,,0,well496,0,0
0,well108,0,,,,,,0,0,0,0,0,0,,,0,well497,0,0
0,well109,0,,,,,,0,0,0,0,0,0,,,0,well498,0,0
0,well11,-287.8831664,,,,,,-287.8831664,-287.8831664,-143.9415832,-86.36494992,-287.8831664,-28.78831664,,,0,well499,-431.8247496,-323.8685622
0,well110,0,,,,,,0,0,0,0,0,0,,,0,well500,0,0
0,well111,0,,,,,,0,0,0,0,0,0,,,0,well501,0,0
0,well112,0,,,,,,0,0,0,0,0,0,,,0,well502,0,0
0,well113,0,,,,,,0,0,0,0,0,0,,,0,well503,0,0
0,well114,0,,,,,,0,0,0,0,0,0,,,0,well504,0,0
0,well115,0,,,,,,0,0,0,0,0,0,,,0,well505,0,0
0,well116,0,,,,,,0,0,0,0,0,0,,,0,well506,0,0
0,well117,0,,,,,,0,0,0,0,0,0,,,0,well507,0,0
0,well118,0,,,,,,0,0,0,0,0,0,,,0,well508,0,0
0,well119,0,,,,,,0,0,0,0,0,0,,,0,well509,0,0
0,well12,0,,,,,,0,0,0,0,0,0,,,0,well510,-1292.34294,-969.257205
0,well120,0,,,,,,0,0,0,0,0,0,,,0,well511,0,0
0,well121,0,,,,,,0,0,0,0,0,0,,,0,well512,0,0
0,well122,0,,,,,,0,0,0,0,0,0,,,0,well513,0,0
0,well123,0,,,,,,0,0,0,0,0,0,,,0,well514,0,0
0,well124,0,,,,,,0,0,0,0,0,0,,,0,well515,0,0
0,well125,0,,,,,,0,0,0,0,0,0,,,0,well516,0,0
0,well126,0,,,,,,0,0,0,0,0,0,,,0,well517,0,0
0,well127,0,,,,,,0,0,0,0,0,0,,,0,well518,0,0
0,well128,0,,,,,,0,0,0,0,0,0,,,0,well519,0,0
0,well129,0,,,,,,0,0,0,0,0,0,,,0,well520,0,0
0,well13,-265.4096919,,,,,,-265.4096919,-265.4096919,-132.704846,-79.62290757,-265.4096919,-26.54096919,,,0,well521,-398.1145379,-298.5859034
0,well130,0,,,,,,0,0,0,0,0,0,,,0,well522,0,0
0,well131,0,,,,,,0,0,0,0,0,0,,,0,well523,0,0
0,well132,0,,,,,,0,0,0,0,0,0,,,0,well524,0,0
0,well133,0,,,,,,0,0,0,0,0,0,,,0,well525,0,0
0,well134,0,,,,,,0,0,0,0,0,0,,,0,well526,0,0
0,well135,0,,,,,,0,0,0,0,0,0,,,0,well527,0,0
0,well136,0,,,,,,0,0,0,0,0,0,,,0,well528,0,0
0,well137,0,,,,,,0,0,0,0,0,0,,,0,well529,0,0
0,well138,0,,,,,,0,0,0,0,0,0,,,0,well530,0,0
0,well139,0,,,,,,0,0,0,0,0,0,,,0,well531,0,0
0,well14,0,,,,,,0,0,0,0,0,0,,,0,well532,0,0
0,well140,0,,,,,,0,0,0,0,0,0,,,0,well533,0,0
0,well141,0,,,,,,0,0,0,0,0,0,,,0,well534,0,0
0,well142,0,,,,,,0,0,0,0,0,0,,,0,well535,0,0
0,well143,0,,,,,,0,0,0,0,0,0,,,0,well536,0,0
0,well144,0,,,,,,0,0,0,0,0,0,,,0,well537,0,0
0,well145,0,,,,,,0,0,0,0,0,0,,,0,well538,0,0
0,well146,0,,,,,,0,0,0,0,0,0,,,0,well539,0,0
0,well147,0,,,,,,0,0,0,0,0,0,,,0,well540,0,0
0,well148,0,,,,,,0,0,0,0,0,0,,,0,well541,0,0
0,well149,0,,,,,,0,0,0,0,0,0,,,0,well542,0,0
0,well15,0,,,,,,0,0,0,0,0,0,,,0,well543,0,0
0,well150,0,,,,,,0,0,0,0,0,0,,,0,well544,0,0
0,well151,0,,,,,,0,0,0,0,0,0,,,0,well545,0,0
0,well152,0,,,,,,0,0,0,0,0,0,,,0,well546,0,0
0,well153,0,,,,,,0,0,0,0,0,0,,,0,well547,0,0
0,well154,0,,,,,,0,0,0,0,0,0,,,0,well548,0,0
0,well155,0,,,,,,0,0,0,0,0,0,,,0,well549,0,0
0,well156,0,,,,,,0,0,0,0,0,0,,,0,well550,0,0
0,well157,0,,,,,,0,0,0,0,0,0,,,0,well551,0,0
0,well158,0,,,,,,0,0,0,0,0,0,,,0,well552,0,0
0,well159,0,,,,,,0,0,0,0,0,0,,,0,well553,0,0
0,well16,-206.8283292,,,,,,-206.8283292,-206.8283292,-103.4141646,-62.04849876,-206.8283292,-20.68283292,,,0,well554,-310.2424937,-232.6818703
0,well160,0,,,,,,0,0,0,0,0,0,,,0,well555,0,0
0,well161,0,,,,,,0,0,0,0,0,0,,,0,well556,0,0
0,well162,0,,,,,,0,0,0,0,0,0,,,0,well557,0,0
0,well163,0,,,,,,0,0,0,0,0,0,,,0,well558,0,0
0,well164,0,,,,,,0,0,0,0,0,0,,,0,well559,0,0
0,well165,0,,,,,,0,0,0,0,0,0,,,0,well560,0,0
0,well166,0,,,,,,0,0,0,0,0,0,,,0,well561,0,0
0,well167,0,,,,,,0,0,0,0,0,0,,,0,well562,0,0
0,well168,0,,,,,,0,0,0,0,0,0,,,0,well563,0,0
0,well169,0,,,,,,0,0,0,0,0,0,,,0,well564,0,0
0,well17,0,,,,,,0,0,0,0,0,0,,,0,well565,0,0
0,well170,0,,,,,,0,0,0,0,0,0,,,0,well566,0,0
0,well171,0,,,,,,0,0,0,0,0,0,,,0,well567,0,0
0,well172,0,,,,,,0,0,0,0,0,0,,,0,well568,0,0
0,well173,0,,,,,,0,0,0,0,0,0,,,0,well569,0,0
0,well174,0,,,,,,0,0,0,0,0,0,,,0,well570,0,0
0,well175,0,,,,,,0,0,0,0,0,0,,,0,well571,0,0
0,well176,0,,,,,,0,0,0,0,0,0,,,0,well572,0,0
0,well177,0,,,,,,0,0,0,0,0,0,,,0,well573,0,0
0,well178,0,,,,,,0,0,0,0,0,0,,,0,well574,0,0
0,well179,0,,,,,,0,0,0,0,0,0,,,0,well575,0,0
0,well18,0,,,,,,0,0,0,0,0,0,,,0,well576,-233.1756219,-174.8817164
0,well180,0,,,,,,0,0,0,0,0,0,,,0,well577,0,0
0,well181,0,,,,,,0,0,0,0,0,0,,,0,well578,0,0
0,well182,0,,,,,,0,0,0,0,0,0,,,0,well579,0,0
0,well183,0,,,,,,0,0,0,0,0,0,,,0,well580,0,0
0,well184,0,,,,,,0,0,0,0,0,0,,,0,well581,0,0
0,well185,0,,,,,,0,0,0,0,0,0,,,0,well582,0,0
0,well186,0,,,,,,0,0,0,0,0,0,,,0,well583,0,0
0,well187,0,,,,,,0,0,0,0,0,0,,,0,well584,0,0
0,well188,0,,,,,,0,0,0,0,0,0,,,0,well585,0,0
0,well189,0,,,,,,0,0,0,0,0,0,,,0,well586,0,0
0,well19,0,,,,,,0,0,0,0,0,0,,,0,well587,-1269.074594,-951.8059455
0,well190,0,,,,,,0,0,0,0,0,0,,,0,well588,0,0
0,well191,0,,,,,,0,0,0,0,0,0,,,0,well589,0,0
0,well192,0,,,,,,0,0,0,0,0,0,,,0,well590,0,0
0,well193,0,,,,,,0,0,0,0,0,0,,,0,well591,0,0
0,well194,0,,,,,,0,0,0,0,0,0,,,0,well592,0,0
0,well195,0,,,,,,0,0,0,0,0,0,,,0,well593,0,0
0,well196,0,,,,,,0,0,0,0,0,0,,,0,well594,0,0
0,well197,0,,,,,,0,0,0,0,0,0,,,0,well595,0,0
0,well198,0,,,,,,0,0,0,0,0,0,,,0,well596,0,0
0,well199,0,,,,,,0,0,0,0,0,0,,,0,well597,0,0
0,well2,0,,,,,,0,0,0,0,0,0,,,0,well598,0,0
0,well20,0,,,,,,0,0,0,0,0,0,,,0,well599,0,0
0,well200,0,,,,,,0,0,0,0,0,0,,,0,well600,0,0
0,well201,0,,,,,,0,0,0,0,0,0,,,0,well601,0,0
0,well202,0,,,,,,0,0,0,0,0,0,,,0,well602,0,0
0,well203,0,,,,,,0,0,0,0,0,0,,,0,well603,0,0
0,well204,0,,,,,,0,0,0,0,0,0,,,0,well604,0,0
0,well205,0,,,,,,0,0,0,0,0,0,,,0,well605,0,0
0,well206,0,,,,,,0,0,0,0,0,0,,,0,well606,0,0
0,well207,0,,,,,,0,0,0,0,0,0,,,0,well607,0,0
0,well208,0,,,,,,0,0,0,0,0,0,,,0,well608,0,0
0,well209,0,,,,,,0,0,0,0,0,0,,,0,well609,0,0
0,well21,0,,,,,,0,0,0,0,0,0,,,0,well610,-1119.047019,-839.2852643
0,well210,0,,,,,,0,0,0,0,0,0,,,0,well611,0,0
0,well211,0,,,,,,0,0,0,0,0,0,,,0,well612,0,0
0,well212,0,,,,,,0,0,0,0,0,0,,,0,well613,0,0
0,well213,0,,,,,,0,0,0,0,0,0,,,0,well614,0,0
0,well214,0,,,,,,0,0,0,0,0,0,,,0,well615,0,0
0,well215,0,,,,,,0,0,0,0,0,0,,,0,well616,0,0
0,well216,0,,,,,,0,0,0,0,0,0,,,0,well617,0,0
